"Year,""Lg"",""Rd"",""Pk"",""Tm"",""Player"",""Pos"",""College"",""From"",""To"",""G"",""MP"",""PTS"",""TRB"",""AST"",""STL"",""BLK"",""FG%"",""2P%"",""3P%"",""FT%"",""WS"",""WS/48"""
"2009,""NBA"",1,21,""NOH"",""Darren Collison"",""G"",""University of California Los Angeles"",2010,2019,708,29.4,12.5,2.7,5,1.2,0.1,0.471,0.495,0.394,0.853,49.9,0.115"
"2009,""NBA"",1,26,""CHI"",""Taj Gibson"",""F"",""University of Southern California"",2010,2019,737,25.9,9.8,6.4,1,0.6,1.1,0.512,0.517,0.212,0.709,49.8,0.125"
"2010,""NBA"",1,7,""DET"",""Greg Monroe"",""C-F"",""Georgetown University"",2011,2019,632,27.7,13.2,8.3,2.1,1.1,0.6,0.514,0.515,0.059,0.704,49.7,0.136"
"2010,""NBA"",1,3,""NJN"",""Derrick Favors"",""F-C"",""Georgia Institute of Technology"",2011,2019,632,25.7,11.6,7.2,1.1,0.8,1.3,0.525,0.535,0.21,0.664,49.5,0.146"
"2005,""NBA"",1,17,""IND"",""Danny Granger"",""F"",""University of New Mexico"",2006,2015,586,31.5,16.8,4.9,1.9,1,0.8,0.434,0.463,0.38,0.848,48.5,0.126"
"2011,""NBA"",1,9,""CHA"",""Kemba Walker"",""G"",""University of Connecticut"",2012,2019,605,34.1,19.8,3.8,5.5,1.3,0.4,0.418,0.452,0.357,0.835,48.5,0.113"
"2004,""NBA"",1,20,""DEN"",""Jameer Nelson"",""G"",""Saint Joseph's University"",2005,2018,878,27.9,11.3,3,5.1,0.9,0.1,0.436,0.474,0.368,0.81,48.3,0.094"
"2009,""NBA"",1,19,""ATL"",""Jeff Teague"",""G"",""Wake Forest University"",2010,2019,712,27.7,12.7,2.5,5.8,1.2,0.3,0.445,0.475,0.356,0.842,48.3,0.117"
"2000,""NBA"",1,1,""NJN"",""Kenyon Martin"",""F"",""University of Cincinnati"",2001,2015,757,30.6,12.3,6.8,1.9,1.2,1.1,0.483,0.492,0.234,0.629,48,0.1"
"2010,""NBA"",1,9,""UTA"",""Gordon Hayward"",""F-G"",""Butler University"",2011,2019,589,30.6,15.1,4.2,3.4,1,0.4,0.446,0.483,0.364,0.821,47.9,0.128"
"2011,""NBA"",1,11,""GSW"",""Klay Thompson"",""G-F"",""Washington State University"",2012,2019,615,33.1,19.5,3.5,2.3,0.9,0.5,0.459,0.491,0.419,0.848,46.8,0.11"
"2008,""NBA"",1,21,""NJN"",""Ryan Anderson"",""F"",""University of California"",2009,2019,647,25.9,12.4,5.3,0.9,0.5,0.3,0.422,0.47,0.38,0.854,46.7,0.134"
"2004,""NBA"",1,18,""NOH"",""J.R. Smith"",""G-F"","""",2005,2019,971,27,12.5,3.2,2.1,1,0.2,0.419,0.463,0.373,0.732,46.4,0.085"
"2004,""NBA"",2,30,""ORL"",""Anderson Varej?o"",""F-C"","""",2005,2017,627,24,7.3,7.2,1.2,0.9,0.6,0.51,0.516,0.024,0.631,46.4,0.148"
"2002,""NBA"",2,56,""SAS"",""Luis Scola"",""F"","""",2008,2017,743,25.6,12,6.7,1.6,0.6,0.3,0.493,0.499,0.339,0.74,45.7,0.115"
"2015,""NBA"",1,1,""MIN"",""Karl-Anthony Towns"",""C-F"",""University of Kentucky"",2016,2019,323,34.4,22.3,11.9,2.6,0.8,1.5,0.537,0.572,0.392,0.836,45.4,0.196"
"2004,""NBA"",1,2,""CHA"",""Emeka Okafor"",""C-F"",""University of Connecticut"",2005,2018,616,30.9,12,9.7,0.8,0.7,1.6,0.512,0.512,0,0.586,45.3,0.114"
"2011,""NBA"",1,5,""TOR"",""Jonas Valan?i?nas"",""C"","""",2013,2019,489,25.2,12.1,8.5,0.8,0.4,1,0.558,0.565,0.357,0.786,45.3,0.177"
"2011,""NBA"",2,60,""SAC"",""Isaiah Thomas"",""G"",""University of Washington"",2012,2019,485,29.4,18.6,2.5,5.1,0.9,0.1,0.437,0.486,0.36,0.874,45.3,0.152"
"2005,""NBA"",2,36,""MIL"",""Ersan ?lyasova"",""F"","""",2007,2019,745,23.9,10.6,5.8,1.1,0.7,0.4,0.443,0.481,0.365,0.773,44.9,0.121"
"2003,""NBA"",1,12,""SEA"",""Nick Collison"",""F"",""University of Kansas"",2005,2018,910,20.4,5.9,5.2,1,0.5,0.5,0.534,0.542,0.208,0.723,44.5,0.115"
"2010,""NBA"",1,1,""WAS"",""John Wall"",""G"",""University of Kentucky"",2011,2019,573,35.9,19,4.3,9.2,1.7,0.7,0.433,0.457,0.324,0.781,44.3,0.104"
"2010,""NBA"",1,5,""SAC"",""DeMarcus Cousins"",""C-F"",""University of Kentucky"",2011,2019,565,32,21.2,10.9,3.2,1.4,1.2,0.461,0.477,0.332,0.737,44.1,0.117"
"2002,""NBA"",1,4,""MEM"",""Drew Gooden"",""F"",""University of Kansas"",2003,2016,790,25.5,11,7.1,1.1,0.7,0.6,0.462,0.471,0.257,0.76,43.9,0.105"
"2001,""NBA"",1,20,""CLE"",""Brendan Haywood"",""C"",""University of North Carolina"",2002,2015,816,22.9,6.8,6,0.5,0.4,1.4,0.528,0.528,0,0.587,43.8,0.113"
"2012,""NBA"",2,35,""GSW"",""Draymond Green"",""F"",""Michigan State University"",2013,2019,533,28.1,9.1,6.9,4.9,1.4,1.1,0.439,0.509,0.323,0.706,43.3,0.139"
"2008,""NBA"",1,15,""PHO"",""Robin Lopez"",""C"",""Stanford University"",2009,2019,766,23,9.1,5.3,0.8,0.2,1.2,0.531,0.534,0.216,0.757,43,0.117"
"2002,""NBA"",2,46,""MEM"",""Matt Barnes"",""F"",""University of California Los Angeles"",2004,2017,929,23.6,8.2,4.6,1.8,0.8,0.5,0.436,0.522,0.335,0.745,42.8,0.093"
"2005,""NBA"",2,33,""NOH"",""Brandon Bass"",""F"",""Louisiana State University"",2006,2017,758,21.6,8.7,4.5,0.8,0.4,0.6,0.499,0.502,0.207,0.832,42.8,0.125"
"2007,""NBA"",1,22,""CHA"",""Jared Dudley"",""F-G"",""Boston College"",2008,2019,847,23.2,7.7,3.3,1.6,0.8,0.2,0.465,0.519,0.392,0.732,42.1,0.103"
"2009,""NBA"",1,18,""MIN"",""Ty Lawson"",""G"",""University of North Carolina"",2010,2017,551,29.2,12.7,2.7,6,1.2,0.1,0.46,0.493,0.359,0.77,42.1,0.126"
"2005,""NBA"",2,40,""GSW"",""Monta Ellis"",""G"","""",2006,2017,833,34.8,17.8,3.5,4.6,1.7,0.3,0.451,0.482,0.314,0.772,41.9,0.069"
"2008,""NBA"",1,9,""CHA"",""D.J. Augustin"",""G"",""University of Texas at Austin"",2009,2019,807,24.1,9.8,1.9,4,0.6,0,0.413,0.438,0.381,0.863,41.9,0.104"
"2011,""NBA"",1,16,""PHI"",""Nikola Vu?evi?"",""C"",""University of Southern California"",2012,2019,536,30,15.7,10.1,2.4,0.9,0.9,0.502,0.515,0.332,0.741,41.7,0.124"
"2010,""NBA"",1,13,""TOR"",""Ed Davis"",""F"",""University of North Carolina"",2011,2019,640,20.2,6.5,6.8,0.8,0.5,0.8,0.569,0.57,0,0.584,41.3,0.153"
"2005,""NBA"",1,5,""CHA"",""Raymond Felton"",""G"",""University of North Carolina"",2006,2019,971,29.7,11.2,3,5.2,1.2,0.2,0.412,0.445,0.329,0.79,40.2,0.067"
"2007,""NBA"",1,5,""BOS"",""Jeff Green"",""F"",""Georgetown University"",2008,2019,860,30,13.2,4.5,1.6,0.7,0.5,0.441,0.483,0.333,0.805,40.2,0.075"
"2003,""NBA"",2,47,""UTA"",""Mo Williams"",""G"",""University of Alabama"",2004,2016,818,29.2,13.2,2.8,4.9,0.9,0.1,0.434,0.46,0.378,0.871,40,0.08"
"2011,""NBA"",1,4,""CLE"",""Tristan Thompson"",""F-C"",""University of Texas at Austin"",2012,2019,562,27.8,9.2,8.6,0.9,0.5,0.7,0.519,0.52,0,0.61,40,0.123"
"2011,""NBA"",1,3,""UTA"",""Enes Kanter"",""C"","""",2012,2019,583,22.2,11.9,7.6,0.8,0.4,0.4,0.541,0.548,0.294,0.78,39.6,0.147"
"2011,""NBA"",1,19,""CHA"",""Tobias Harris"",""F"",""University of Tennessee"",2012,2019,546,30.4,15.4,6,1.9,0.7,0.5,0.471,0.512,0.364,0.822,39.4,0.114"
"2009,""NBA"",2,46,""CLE"",""Danny Green"",""G-F"",""University of North Carolina"",2010,2019,620,25.4,9,3.5,1.6,1,0.8,0.424,0.457,0.404,0.817,39.2,0.119"
"2009,""NBA"",1,17,""PHI"",""Jrue Holiday"",""G"",""University of California Los Angeles"",2010,2019,652,33.1,15.6,3.8,6.4,1.5,0.5,0.452,0.486,0.355,0.784,39.1,0.087"
"2005,""NBA"",1,8,""NYK"",""Channing Frye"",""C-F"",""University of Arizona"",2006,2019,890,22.2,8.7,4.5,1,0.5,0.6,0.44,0.477,0.388,0.822,38.9,0.094"
"2014,""NBA"",2,41,""DEN"",""Nikola Joki?"",""C-F"","""",2016,2019,308,28.3,16.3,9.6,5.1,1.1,0.7,0.523,0.571,0.345,0.828,38.9,0.214"
"2011,""NBA"",1,22,""DEN"",""Kenneth Faried"",""F"",""Morehead State University"",2012,2019,478,24.5,11.4,8.1,1,0.7,0.8,0.546,0.55,0.222,0.654,38.8,0.159"
"2004,""NBA"",1,25,""BOS"",""Tony Allen"",""G-F"",""Oklahoma State University"",2005,2018,820,22,8.1,3.5,1.3,1.4,0.4,0.475,0.492,0.282,0.709,38.7,0.103"
"2008,""NBA"",1,22,""ORL"",""Courtney Lee"",""G"",""Western Kentucky University"",2009,2019,787,27.4,9.7,2.7,1.7,1,0.3,0.45,0.484,0.387,0.853,38.7,0.086"
"2013,""NBA"",1,12,""OKC"",""Steven Adams"",""C"",""University of Pittsburgh"",2014,2019,467,26.8,9.7,7.4,1,0.9,1,0.588,0.589,0,0.553,38.7,0.148"
"2006,""NBA"",1,13,""PHI"",""Thabo Sefolosha"",""G-F"","""",2007,2019,828,22.5,5.9,3.8,1.4,1.1,0.4,0.45,0.501,0.352,0.735,38.6,0.1"
"2003,""NBA"",2,45,""CHI"",""Matt Bonner"",""F"",""University of Florida"",2005,2016,792,16.9,5.8,3,0.7,0.4,0.3,0.464,0.516,0.414,0.78,38.5,0.138"
"2003,""NBA"",1,29,""DAL"",""Josh Howard"",""F-G"",""Wake Forest University"",2004,2013,507,30.3,14.3,5.7,1.6,1,0.5,0.448,0.471,0.332,0.77,38,0.119"
"2003,""NBA"",1,28,""SAS"",""Leandro Barbosa"",""G"","""",2004,2017,850,21.6,10.6,2,2.1,0.8,0.1,0.459,0.498,0.387,0.821,37.4,0.098"
"2005,""NBA"",1,10,""LAL"",""Andrew Bynum"",""C"","""",2006,2014,418,25.6,11.5,7.7,1.2,0.3,1.6,0.556,0.557,0.111,0.69,37.4,0.168"
