"Rk,Year,Lg,Rd,Pk,Tm,Player,Age,Pos,Born,College,From,To,G,MP,PTS,TRB,AST,STL,BLK,FG%,2P%,3P%,FT%,WS,WS/48"
"86,2010,NBA,1,7,DET,Greg Monroe\monrogr01,20.025,C-F,us,Georgetown University,2011,2019,632,27.7,13.2,8.3,2.1,1.1,0.6,.514,.515,.059,.704,49.7,.136"
"87,2010,NBA,1,3,NJN,Derrick Favors\favorde01,18.349,F-C,us,Georgia Institute of Technology,2011,2019,632,25.7,11.6,7.2,1.1,0.8,1.3,.525,.535,.210,.664,49.5,.146"
"88,2005,NBA,1,17,IND,Danny Granger\grangda01,22.075,F,us,University of New Mexico,2006,2015,586,31.5,16.8,4.9,1.9,1.0,0.8,.434,.463,.380,.848,48.5,.126"
"89,2011,NBA,1,9,CHA,Kemba Walker\walkeke02,21.051,G,us,University of Connecticut,2012,2019,605,34.1,19.8,3.8,5.5,1.3,0.4,.418,.452,.357,.835,48.5,.113"
"90,2004,NBA,1,20,DEN,Jameer Nelson\nelsoja01,22.141,G,us,Saint Joseph's University,2005,2018,878,27.9,11.3,3.0,5.1,0.9,0.1,.436,.474,.368,.810,48.3,.094"
"91,2009,NBA,1,19,ATL,Jeff Teague\teaguje01,21.020,G,us,Wake Forest University,2010,2019,712,27.7,12.7,2.5,5.8,1.2,0.3,.445,.475,.356,.842,48.3,.117"
"92,2000,NBA,1,1,NJN,Kenyon Martin\martike01,22.186,F,us,University of Cincinnati,2001,2015,757,30.6,12.3,6.8,1.9,1.2,1.1,.483,.492,.234,.629,48.0,.100"
"93,2010,NBA,1,9,UTA,Gordon Hayward\haywago01,20.098,F-G,us,Butler University,2011,2019,589,30.6,15.1,4.2,3.4,1.0,0.4,.446,.483,.364,.821,47.9,.128"
"94,2011,NBA,1,11,GSW,Klay Thompson\thompkl01,21.140,G-F,us,Washington State University,2012,2019,615,33.1,19.5,3.5,2.3,0.9,0.5,.459,.491,.419,.848,46.8,.110"
"95,2008,NBA,1,21,NJN,Ryan Anderson\anderry01,20.056,F,us,University of California,2009,2019,647,25.9,12.4,5.3,0.9,0.5,0.3,.422,.470,.380,.854,46.7,.134"
"96,2004,NBA,1,18,NOH,J.R. Smith\smithjr01,18.293,G-F,us,,2005,2019,971,27.0,12.5,3.2,2.1,1.0,0.2,.419,.463,.373,.732,46.4,.085"
"97,2004,NBA,2,30,ORL,Anderson Varejão\varejan01,21.275,F-C,br,,2005,2017,627,24.0,7.3,7.2,1.2,0.9,0.6,.510,.516,.024,.631,46.4,.148"
"98,2002,NBA,2,56,SAS,Luis Scola\scolalu01,22.062,F,ar,,2008,2017,743,25.6,12.0,6.7,1.6,0.6,0.3,.493,.499,.339,.740,45.7,.115"
"99,2015,NBA,1,1,MIN,Karl-Anthony Towns\townska01,19.227,C-F,us,University of Kentucky,2016,2019,323,34.4,22.3,11.9,2.6,0.8,1.5,.537,.572,.392,.836,45.4,.196"
"100,2004,NBA,1,2,CHA,Emeka Okafor\okafoem01,21.275,C-F,us,University of Connecticut,2005,2018,616,30.9,12.0,9.7,0.8,0.7,1.6,.512,.512,.000,.586,45.3,.114"
"101,2011,NBA,1,5,TOR,Jonas Valan?i?nas\valanjo01,19.052,C,lt,,2013,2019,489,25.2,12.1,8.5,0.8,0.4,1.0,.558,.565,.357,.786,45.3,.177"
"102,2011,NBA,2,60,SAC,Isaiah Thomas\thomais02,22.141,G,us,University of Washington,2012,2019,485,29.4,18.6,2.5,5.1,0.9,0.1,.437,.486,.360,.874,45.3,.152"
"103,2005,NBA,2,36,MIL,Ersan ?lyasova\ilyaser01,18.049,F,tr,,2007,2019,745,23.9,10.6,5.8,1.1,0.7,0.4,.443,.481,.365,.773,44.9,.121"
"104,2003,NBA,1,12,SEA,Nick Collison\collini01,22.248,F,us,University of Kansas,2005,2018,910,20.4,5.9,5.2,1.0,0.5,0.5,.534,.542,.208,.723,44.5,.115"
"105,2010,NBA,1,1,WAS,John Wall\walljo01,19.296,G,us,University of Kentucky,2011,2019,573,35.9,19.0,4.3,9.2,1.7,0.7,.433,.457,.324,.781,44.3,.104"
"106,2010,NBA,1,5,SAC,DeMarcus Cousins\couside01,19.320,C-F,us,University of Kentucky,2011,2019,565,32.0,21.2,10.9,3.2,1.4,1.2,.461,.477,.332,.737,44.1,.117"
"107,2002,NBA,1,4,MEM,Drew Gooden\goodedr01,20.280,F,us,University of Kansas,2003,2016,790,25.5,11.0,7.1,1.1,0.7,0.6,.462,.471,.257,.760,43.9,.105"
"108,2001,NBA,1,20,CLE,Brendan Haywood\haywobr01,21.218,C,us,University of North Carolina,2002,2015,816,22.9,6.8,6.0,0.5,0.4,1.4,.528,.528,.000,.587,43.8,.113"
"109,2012,NBA,2,35,GSW,Draymond Green\greendr01,22.122,F,us,Michigan State University,2013,2019,533,28.1,9.1,6.9,4.9,1.4,1.1,.439,.509,.323,.706,43.3,.139"
