Year,Lg,Rd,Pk,Tm,Player,Pos,Born,College,From,To,G,MP,PTS,TRB,AST,STL,BLK,FG%,2P%,3P%,FT%,WS,WS/48
2004,NBA,2,45,CHA,Bernard Robinson,G-F,us,University of Michigan,2005,2007,128,14.9,4.5,2.5,1,0.9,0.1,0.417,0.434,0.161,0.786,2,0.049
2000,NBA,1,15,MIL,Jason Collier,C,us,Georgia Institute of Technology,2001,2005,151,14.4,5.6,2.9,0.3,0.2,0.2,0.455,0.458,0.35,0.738,1.9,0.042
2012,NBA,2,33,CLE,Bernard James,C,us,Florida State University,2013,2015,92,8.3,2.2,2.3,0.1,0.2,0.7,0.497,0.507,0,0.68,1.9,0.117
2012,NBA,2,58,MIN,Robbie Hummel,F,us,Purdue University,2014,2015,98,14.3,3.9,2.7,0.5,0.3,0.1,0.418,0.469,0.343,0.867,1.9,0.066
2017,NBA,2,37,BOS,Semi Ojeleye,F,us,Southern Methodist University,2018,2019,129,13.5,3,1.9,0.3,0.2,0.1,0.382,0.485,0.318,0.613,1.9,0.051
2018,NBA,1,7,CHI,Wendell Carter,C,us,Duke University,2019,2019,44,25.2,10.3,7,1.8,0.6,1.3,0.485,0.513,0.188,0.795,1.9,0.08
2000,NBA,1,26,DEN,Mamadou N'Diaye,C,sn,Auburn University,2001,2005,69,12.4,3.8,3.3,0.1,0.2,0.9,0.427,0.429,0,0.736,1.8,0.101
2001,NBA,1,9,DET,Rodney White,F,us,University of North Carolina at Charlotte,2002,2005,218,15.4,7.1,2.2,1.1,0.5,0.3,0.424,0.452,0.314,0.749,1.8,0.026
2008,NBA,2,60,BOS,Semih Erden,C,tr,,2011,2012,69,13.4,3.8,2.8,0.4,0.4,0.4,0.546,0.546,,0.594,1.8,0.094
2016,NBA,1,24,PHI,Timothé Luwawu-Cabarrot,F,fr,,2017,2019,171,15.6,5.7,1.9,0.9,0.4,0.1,0.387,0.457,0.32,0.82,1.8,0.033
2017,NBA,1,17,MIL,D.J. Wilson,F,us,University of Michigan,2018,2019,70,13.6,4.3,3.3,0.8,0.3,0.3,0.423,0.481,0.364,0.551,1.8,0.09
2002,NBA,1,20,TOR,Kareem Rush,G,us,University of Missouri,2003,2010,346,17.2,6.4,1.7,1,0.4,0.2,0.4,0.425,0.358,0.703,1.7,0.013
2004,NBA,1,12,SEA,Robert Swift,C,us,,2005,2009,97,15.5,4.3,3.9,0.2,0.3,0.9,0.506,0.506,,0.61,1.7,0.054
2010,NBA,2,44,MIL,Jerome Jordan,C,jm,University of Tulsa,2012,2015,65,7.6,2.8,2,0.3,0.1,0.3,0.528,0.528,,0.852,1.7,0.168
2012,NBA,1,27,MIA,Arnett Moultrie,F,us,Mississippi State University,2013,2014,59,12.4,3.6,3.1,0.2,0.4,0.2,0.547,0.547,,0.667,1.7,0.113
2012,NBA,1,28,OKC,Perry Jones,F,us,Baylor University,2013,2015,143,11.7,3.4,1.8,0.4,0.3,0.2,0.42,0.466,0.293,0.66,1.7,0.048
2018,NBA,1,6,ORL,Mohamed Bamba,C,us,University of Texas at Austin,2019,2019,47,16.3,6.2,5,0.8,0.3,1.4,0.481,0.555,0.3,0.587,1.7,0.106
2007,NBA,1,11,ATL,Acie Law,G,us,Texas A&M University,2008,2011,188,12.7,3.9,1,1.6,0.4,0,0.413,0.452,0.235,0.778,1.6,0.032
2011,NBA,2,53,ORL,DeAndre Liggins,G,us,University of Kentucky,2012,2018,177,10.8,2,1.4,0.7,0.6,0.2,0.402,0.432,0.352,0.549,1.6,0.04
2016,NBA,1,5,MIN,Kris Dunn,G,us,Providence College,2017,2019,176,24.1,8.6,3.3,4.4,1.4,0.5,0.417,0.441,0.323,0.723,1.6,0.018
2016,NBA,1,30,GSW,Damian Jones,F-C,us,Vanderbilt University,2017,2019,49,11.9,3.6,2.3,0.6,0.3,0.7,0.643,0.643,,0.577,1.6,0.129
2018,NBA,2,40,BRK,Rodions Kurucs,F,lv,,2019,2019,63,20.5,8.5,3.9,0.8,0.7,0.4,0.45,0.543,0.315,0.783,1.6,0.059
2002,NBA,2,37,ATL,David Andersen,C,au,,2010,2011,103,12.3,4.9,2.8,0.6,0.2,0.2,0.44,0.467,0.347,0.674,1.5,0.059
2003,NBA,1,22,NJN,Zoran Planini?,G,ba,,2004,2006,148,10.7,3.8,1.3,1.1,0.4,0,0.405,0.447,0.289,0.677,1.5,0.046
2006,NBA,2,45,IND,Alexander Johnson,F,us,Florida State University,2007,2008,102,12.8,4.3,2.7,0.3,0.4,0.4,0.517,0.517,,0.672,1.5,0.056
2008,NBA,1,28,MEM,Donté Greene,F,de,Syracuse University,2009,2012,253,16.8,6.1,2.4,0.7,0.4,0.5,0.406,0.467,0.304,0.701,1.5,0.017
2008,NBA,2,38,CHA,Kyle Weaver,G,us,Washington State University,2009,2011,73,18.9,5,2.2,1.6,0.8,0.5,0.441,0.497,0.353,0.736,1.5,0.051
2018,NBA,1,19,ATL,Kevin Huerter,G,us,University of Maryland,2019,2019,75,27.3,9.7,3.3,2.9,0.9,0.3,0.419,0.457,0.385,0.732,1.5,0.034
2018,NBA,2,42,DET,Bruce Brown,G,us,University of Miami,2019,2019,74,19.6,4.3,2.5,1.2,0.5,0.5,0.398,0.457,0.258,0.75,1.5,0.048
2002,NBA,1,21,POR,Qyntel Woods,F,us,Northeast Mississippi Community College,2003,2006,167,12.3,4.1,2.3,0.6,0.4,0.2,0.452,0.47,0.357,0.603,1.4,0.032
2002,NBA,2,40,WAS,Juan Carlos Navarro,G,es,,2008,2008,82,25.8,10.9,2.6,2.2,0.6,0,0.402,0.455,0.361,0.849,1.4,0.031
2002,NBA,2,47,UTA,Jamal Sampson,F-C,us,University of California,2003,2007,72,8.8,2,3.4,0.4,0.1,0.4,0.491,0.495,0,0.537,1.4,0.106
2012,NBA,2,36,SAC,Orlando Johnson,G,us,University of California Santa Barbara,2013,2016,103,10.8,3.2,1.7,0.7,0.2,0.1,0.358,0.398,0.311,0.727,1.4,0.059
2012,NBA,2,53,LAC,Furkan Aldemir,F-C,tr,,2015,2015,41,13.2,2.3,4.3,0.7,0.4,0.4,0.513,0.548,0,0.481,1.4,0.122
2017,NBA,2,36,PHI,Jonah Bolden,F,au,,2019,2019,44,14.5,4.7,3.8,0.9,0.4,0.9,0.494,0.697,0.354,0.481,1.4,0.106
2000,NBA,2,45,SAC,Jabari Smith,C,us,Louisiana State University,2001,2005,108,9.8,3,1.6,0.6,0.3,0.2,0.413,0.42,0.125,0.69,1.3,0.058
2008,NBA,2,52,MIA,Darnell Jackson,F,us,University of Kansas,2009,2011,138,7.5,2.2,1.5,0.2,0.2,0.1,0.449,0.463,0.235,0.644,1.3,0.059
2011,NBA,2,36,NJN,Jordan Williams,F,us,University of Maryland,2012,2012,43,14.8,4.6,3.6,0.3,0.5,0.3,0.507,0.507,,0.652,1.3,0.101
2012,NBA,2,31,CHA,Jeffery Taylor,F,se,Vanderbilt University,2013,2015,132,19.4,6.1,2,0.8,0.5,0.2,0.409,0.458,0.319,0.665,1.3,0.024
2014,NBA,1,18,PHO,Tyler Ennis,G,ca,Syracuse University,2015,2018,186,12.6,4.2,1.3,1.9,0.5,0.1,0.419,0.458,0.317,0.768,1.3,0.026
2014,NBA,1,21,OKC,Mitch McGary,F-C,us,University of Michigan,2015,2016,52,10.7,4.4,3.5,0.3,0.3,0.3,0.527,0.544,0,0.58,1.3,0.108
2014,NBA,2,32,PHI,K.J. McDaniels,G-F,us,Clemson University,2015,2017,148,14.1,5.3,2.2,0.6,0.5,0.6,0.412,0.479,0.29,0.776,1.3,0.03
2000,NBA,2,42,SEA,Olumide Oyedeji,C,ng,,2001,2003,93,6.3,1.4,2.1,0.1,0.2,0.2,0.495,0.495,,0.659,1.2,0.095
2017,NBA,2,45,HOU,Dillon Brooks,F-G,ca,University of Oregon,2018,2019,100,26.8,10.3,2.9,1.5,0.8,0.2,0.435,0.475,0.359,0.745,1.2,0.021
2018,NBA,1,20,MIN,Josh Okogie,G,ng,Georgia Institute of Technology,2019,2019,74,23.7,7.7,2.9,1.2,1.2,0.4,0.386,0.464,0.279,0.728,1.2,0.034
2018,NBA,1,27,BOS,Robert Williams,F,us,Texas A&M University,2019,2019,32,8.8,2.5,2.5,0.2,0.3,1.3,0.706,0.706,,0.6,1.2,0.201
2018,NBA,1,30,ATL,Omari Spellman,F,us,Villanova University,2019,2019,46,17.5,5.9,4.2,1,0.6,0.5,0.402,0.466,0.344,0.711,1.2,0.07
2001,NBA,2,45,CHI,Sean Lampley,F,us,University of California,2003,2004,45,12.2,4.5,2.1,0.7,0.2,0.1,0.463,0.476,0,0.691,1.1,0.096
2003,NBA,1,17,PHO,Žarko ?abarkapa,F,rs,,2004,2006,150,10.3,4.3,2.1,0.6,0.2,0.2,0.427,0.457,0.273,0.733,1.1,0.035
2006,NBA,2,37,MIN,Bobby Jones,F,us,University of Washington,2007,2008,91,9.5,3.2,1.6,0.5,0.3,0,0.442,0.491,0.306,0.685,1.1,0.06
2013,NBA,1,29,OKC,Archie Goodwin,G,us,University of Kentucky,2014,2017,165,14.5,6.3,2,1.2,0.4,0.2,0.429,0.484,0.236,0.7,1.1,0.022
2014,NBA,1,20,TOR,Bruno Caboclo,F,br,,2015,2019,69,14.7,4.9,2.8,0.9,0.3,0.6,0.392,0.451,0.344,0.839,1.1,0.054
2014,NBA,2,44,MIN,Markel Brown,G,us,Oklahoma State University,2015,2018,113,15.9,5.2,2.1,1.2,0.6,0.2,0.38,0.427,0.295,0.781,1.1,0.029
2016,NBA,1,16,BOS,Guerschon Yabusele,F,fr,,2018,2019,74,6.6,2.3,1.4,0.4,0.2,0.2,0.442,0.548,0.323,0.682,1.1,0.105
2016,NBA,1,26,PHI,Furkan Korkmaz,G,tr,,2018,2019,62,12.2,4.9,1.9,0.9,0.5,0,0.388,0.482,0.323,0.792,1.1,0.07
2017,NBA,2,40,NOP,Dwayne Bacon,G,us,Florida State University,2018,2019,96,15.3,5.1,2.2,0.9,0.3,0.1,0.432,0.455,0.377,0.761,1.1,0.034
2001,NBA,2,34,ATL,Terence Morris,F,us,University of Maryland,2002,2006,139,13.9,3.4,2.7,0.7,0.3,0.4,0.407,0.465,0.196,0.711,1,0.025
2002,NBA,1,18,ORL,Curtis Borchardt,C,us,Stanford University,2004,2005,83,13.5,3.1,3.3,0.8,0.2,0.6,0.421,0.423,0,0.742,1,0.041
2002,NBA,2,33,DEN,Vincent Yarbrough,G-F,us,University of Tennessee,2003,2003,59,23.4,6.9,2.7,2.2,1,0.6,0.393,0.42,0.269,0.79,1,0.035
2010,NBA,1,29,ORL,Daniel Orton,C-F,us,University of Kentucky,2012,2014,51,10.6,2.8,2.5,0.5,0.4,0.5,0.485,0.49,0,0.597,1,0.093
2012,NBA,1,13,PHO,Kendall Marshall,G,us,University of North Carolina,2013,2016,160,19.3,5,1.6,4.9,0.7,0.1,0.399,0.422,0.37,0.611,1,0.015
