,Player,Class,Season,Pos,School,Conf,G,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PER,eFG%,WS,AP Player of the Year,NABC Defensive Player of the Year,NABC Player of the Year,Naismith Award,NCAA Tournament Most Outstanding Player,NIT Most Valuable Player,Rupp Trophy,Sporting News Player of the Year,UPI Player of the Year,USBWA Freshman of the Year,Year,Rd,Pk,Tm,Projected Rd,Projected Pk,Team Score
511,Steven Hunter,SO,2001,C,DePaul,CUSA,30,26.933000000000003,4.6,7.767,4.6,7.767,0.0,0.0,2.233,4.167,2.2,3.4330000000000003,5.632999999999999,0.5,0.16699999999999998,2.4,1.4669999999999999,2.333,11.433,23.49,0.5920000000000001,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2001.0,1.0,15.0,ORL,1.0,15.0,0.0
513,Trenton Hassell,SR,2001,F,Austin Peay,OVC,32,37.906,7.688,15.844000000000001,6.031000000000001,11.594000000000001,1.656,4.25,4.625,5.812,2.562,5.218999999999999,7.781000000000001,4.5,1.219,0.469,3.781,2.094,21.656,29.84,0.513,3.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2001.0,2.0,30.0,CHI,2.0,30.0,0.0
515,Eddie Griffin,FR,2001,F,Seton Hall,Big East,30,32.633,6.867000000000001,16.0,5.5,11.732999999999999,1.367,4.2669999999999995,2.667,3.633,3.133,7.632999999999999,10.767000000000001,1.633,0.867,4.433,2.233,2.367,17.767,34.53,0.47200000000000003,4.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2001.0,1.0,7.0,NJN,1.0,7.0,0.0
516,Kirk Haston,JR,2001,C,Indiana,Big Ten,33,30.848000000000003,7.364,16.727,6.5760000000000005,14.636,0.7879999999999999,2.0909999999999997,3.455,5.03,2.424,6.303,8.727,1.242,1.091,1.212,2.394,2.818,18.97,31.9,0.496,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2001.0,1.0,16.0,CHH,1.0,16.0,0.0
524,Terence Morris,SR,2001,F,Maryland,ACC,36,27.583000000000002,4.388999999999999,10.167,3.667,7.667000000000001,0.722,2.5,2.694,3.389,2.528,5.167000000000001,7.694,1.889,0.889,2.194,1.778,2.611,12.194,27.84,0.467,4.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2001.0,2.0,34.0,ATL,2.0,34.0,0.0
526,Troy Murphy,JR,2001,F,Notre Dame,Big East,30,36.333,7.433,15.767000000000001,6.433,12.9,1.0,2.867,5.9,7.7,3.133,6.1,9.232999999999999,2.0669999999999997,0.9,1.6669999999999998,3.0,3.2,21.767,31.32,0.503,5.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2001.0,1.0,14.0,GSW,1.0,14.0,0.0
527,Tito Maddox,FR,2001,G,Fresno State,WAC,25,32.28,4.4,11.24,3.6,8.44,0.8,2.8,3.88,5.52,1.24,4.52,5.76,8.0,1.64,0.2,5.2,2.68,13.48,23.39,0.42700000000000005,2.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2002.0,2.0,38.0,HOU,2.0,38.0,0.0
529,Joe Johnson,SO,2001,F,Arkansas,SEC,30,29.1,5.4,11.533,4.2330000000000005,8.9,1.167,2.633,2.267,3.033,2.233,4.2,6.433,2.5669999999999997,1.433,0.4,2.333,1.5330000000000001,14.232999999999999,27.59,0.51,3.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2001.0,1.0,10.0,BOS,1.0,10.0,0.0
530,Ken Johnson,SR,2001,C,Ohio State,Big Ten,31,29.548000000000002,4.677,8.097000000000001,4.677,8.097000000000001,0.0,0.0,3.097,4.355,2.032,5.257999999999999,7.29,0.8059999999999999,0.387,4.032,2.355,2.613,12.452,24.85,0.5529999999999999,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2001.0,2.0,49.0,MIA,2.0,49.0,0.0
532,Sean Lampley,SR,2001,F,University of California,Pac-10,31,34.613,6.742000000000001,13.419,6.516,12.355,0.226,1.065,5.806,7.871,1.484,5.742000000000001,7.226,3.29,0.935,0.452,3.613,2.548,19.516,27.17,0.51,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2001.0,2.0,45.0,CHI,2.0,45.0,0.0
