,Player,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PER,Year,Rd,Pk,Tm
634,Carlos Delfino,22.8375,2.8625,7.1875,0.397375,1.325,3.625,0.347125,1.5375,3.5625,0.435625,0.479125,0.95,1.2625,0.751125,0.5375,2.925,3.4625,1.7625,0.95,0.175,1,1.625,7.975,19.48625,2003,1,25,DET
635,Joakim Noah,25.59166667,3.075,6.275,0.48875,0,0.008333333,0,3.075,6.233333333,0.490583333,0.48875,1.85,2.691666667,0.6525,3,5.475,8.475,2.666666667,0.733333333,1.191666667,1.591666667,2.633333333,7.975,23.0325,2007,1,9,CHI
639,Bam Adebayo,21.55,2.95,5.4,0.544,0,0.15,0.1,2.95,5.25,0.5555,0.5455,1.95,2.7,0.728,1.85,4.55,6.4,1.85,0.7,0.7,1.25,2.25,7.9,23.3,2017,1,14,MIA
640,Juan Dixon,18.72727273,3.036363636,7.309090909,0.414,0.763636364,2.163636364,0.356727273,2.272727273,5.145454545,0.440545455,0.466454545,1.063636364,1.254545455,0.817818182,0.345454545,1.490909091,1.809090909,1.745454545,0.709090909,0.081818182,1.190909091,1.681818182,7.881818182,20.76909091,2002,1,17,WAS
641,Jamaal Tinsley,24.79090909,2.981818182,7.654545455,0.375363636,0.681818182,2.381818182,0.264818182,2.318181818,5.281818182,0.453454545,0.420454545,1.236363636,1.718181818,0.658363636,0.572727273,2.181818182,2.727272727,5.590909091,1.290909091,0.227272727,2.363636364,2.236363636,7.881818182,19.08181818,2001,1,27,MEM
642,Shabazz Muhammad,14.31428571,3.014285714,6.3,0.469,0.328571429,1.042857143,0.305285714,2.671428571,5.257142857,0.500142857,0.493142857,1.528571429,2.028571429,0.755714286,0.9,1.585714286,2.514285714,0.5,0.3,0.1,0.471428571,0.871428571,7.871428571,27.99142857,2013,1,14,UTA
646,Patty Mills,16.96,2.86,6.64,0.4329,1.33,3.4,0.4012,1.54,3.22,0.4745,0.5284,0.75,0.88,0.8273,0.29,1.22,1.52,2.13,0.55,0.06,0.98,1.18,7.85,24.42,2009,2,55,POR
647,Josh Hart,24.4,2.8,6.45,0.438,1.3,3.6,0.366,1.5,2.8,0.531,0.5395,0.9,1.35,0.695,0.6,3.35,3.95,1.35,0.85,0.45,0.8,1.95,7.85,18.585,2017,1,30,UTA
648,Mickaël Piétrus,21.03333333,2.758333333,6.641666667,0.4105,1.275,3.575,0.351916667,1.483333333,3.075,0.473583333,0.506916667,1.075,1.608333333,0.655333333,0.658333333,2.191666667,2.858333333,0.733333333,0.625,0.383333333,0.958333333,2.133333333,7.833333333,18.67166667,2003,1,11,GSW
652,Gorgui Dieng,22.26666667,3.016666667,5.983333333,0.503,0.133333333,0.383333333,0.414833333,2.883333333,5.55,0.516333333,0.514833333,1.666666667,2.1,0.777166667,1.9,4.266666667,6.166666667,1.35,0.816666667,0.983333333,1.183333333,2.316666667,7.816666667,23.22166667,2013,1,21,UTA
653,Brandon Bass,19.74166667,3.041666667,6.141666667,0.48675,0.008333333,0.066666667,0.078916667,3.025,6.075,0.49,0.487583333,1.716666667,2.091666667,0.812416667,1.375,2.825,4.175,0.7,0.35,0.566666667,0.866666667,1.658333333,7.816666667,21.08,2005,2,33,NOH
654,Channing Frye,20.04117647,2.923529412,6.635294118,0.443352941,1.117647059,2.929411765,0.357529412,1.811764706,3.705882353,0.506411765,0.532647059,0.811764706,0.994117647,0.830352941,0.717647059,3.288235294,4.005882353,0.935294118,0.452941176,0.505882353,0.770588235,2.258823529,7.805882353,20.59882353,2005,1,8,NYK
655,Malik Monk,15.4,2.75,7.35,0.3735,1.4,4.2,0.336,1.35,3.2,0.423,0.469,0.85,1,0.862,0.15,1.3,1.45,1.5,0.4,0.2,1,1.25,7.8,24.24,2017,1,11,CHO
659,Corey Brewer,21.12727273,2.913636364,6.845454545,0.426681818,0.545454545,1.936363636,0.275909091,2.363636364,4.895454545,0.489863636,0.467136364,1.4,1.95,0.723590909,0.781818182,1.931818182,2.718181818,1.5,1.240909091,0.25,1.059090909,2.127272727,7.777272727,20.24363636,2007,1,7,MIN
662,Chris Wilcox,18.90666667,3.193333333,5.853333333,0.549466667,0,0.02,0,3.193333333,5.826666667,0.5522,0.549466667,1.406666667,2.206666667,0.621533333,1.52,3.246666667,4.78,0.72,0.466666667,0.373333333,1.1,2.326666667,7.753333333,21.03933333,2002,1,8,LAC
666,Doug McDermott,20.23333333,2.9,6.366666667,0.454888889,1.111111111,2.711111111,0.395777778,1.811111111,3.655555556,0.499333333,0.539333333,0.822222222,1.011111111,0.799222222,0.355555556,1.922222222,2.255555556,0.811111111,0.2,0.111111111,0.6,1.333333333,7.722222222,18.09666667,2014,1,11,DEN
667,Andrew Bogut,24.26875,3.41875,6.525,0.5015,0,0.025,0.1375,3.41875,6.5125,0.503,0.501875,0.8875,1.5875,0.527375,2.1375,5.5375,7.69375,1.9,0.55625,1.3125,1.51875,2.925,7.7125,16.98625,2005,1,1,MIL
668,Tyson Chandler,26.09,2.865,4.82,0.596,0,0,0,2.865,4.805,0.5975,0.596,1.985,3.08,0.63345,2.885,5.845,8.72,0.82,0.52,1.045,1.38,2.77,7.705,19.196,2001,1,2,LAC
