,Player,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PER
1292,James Anderson,13.72857143,1.642857143,4.028571429,0.404,0.657142857,1.928571429,0.342428571,1,2.1,0.457428571,0.485857143,0.657142857,0.842857143,0.791857143,0.385714286,1.485714286,1.871428571,1.042857143,0.385714286,0.185714286,0.728571429,0.928571429,4.585714286,18.28857143
1293,Rory Sparrow,15.48,2.04,4.88,0.3622,0.18,0.52,0.2902,1.86,4.36,0.3516,0.3838,0.36,0.5,0.539,0.26,0.88,1.1,2.56,0.44,0.08,0.94,1.42,4.58,15.174
1294,Chris Robinson,12.9,1.8,4.775,0.374,0.7,1.95,0.36075,1.1,2.85,0.382,0.448,0.275,0.475,0.52875,0.35,1.1,1.375,1.2,0.55,0.15,0.875,1.575,4.575,17.91
1295,Michael Doleac,14.46666667,1.975,4.466666667,0.437583333,0,0,0.041666667,1.975,4.466666667,0.43825,0.437666667,0.633333333,0.808333333,0.780166667,1,2.258333333,3.241666667,0.55,0.341666667,0.358333333,0.633333333,2.133333333,4.575,17.03666667
1296,Seth Curry,12.44285714,1.642857143,3.914285714,0.294,0.871428571,1.785714286,0.475,0.771428571,2.128571429,0.207285714,0.388857143,0.4,0.471428571,0.361285714,0.142857143,1.028571429,1.157142857,0.8,0.728571429,0.057142857,0.414285714,0.714285714,4.571428571,16.80714286
1297,Nick Calathes,15.45,1.9,4.35,0.439,0.25,0.8,0.2835,1.65,3.5,0.474,0.465,0.5,0.9,0.572,0.3,1.55,1.85,2.7,1,0.1,1.25,1.65,4.55,18.615
1298,Juan Hernangómez,15.25,1.6,3.75,0.413,0.75,2.3,0.3225,0.8,1.45,0.5705,0.5125,0.65,0.85,0.8,0.8,2.15,3,0.65,0.3,0.2,0.45,1.15,4.55,17.62
1299,Óscar Torres,11.45,1.5,3.65,0.42,0.5,1.35,0.416,1,2.35,0.4235,0.496,1.05,1.4,0.7405,0.45,0.85,1.3,0.4,0.3,0.1,0.65,0.75,4.55,19.65
1300,Raul Neto,13.025,1.725,3.9,0.44975,0.525,1.375,0.36375,1.225,2.475,0.4965,0.5135,0.55,0.725,0.80575,0.175,1.125,1.3,1.825,0.5,0.075,0.875,1.225,4.55,19.0825
1301,Sam Young,13.46666667,1.75,4.3,0.391666667,0.183333333,0.616666667,0.293833333,1.583333333,3.683333333,0.404166667,0.418166667,0.8,1.133333333,0.714333333,0.616666667,1.466666667,2.066666667,0.6,0.5,0.216666667,0.666666667,1,4.533333333,17.715
1302,Earl Barron,15.42307692,1.892307692,5.207692308,0.354307692,0.007692308,0.046153846,0.044384615,1.869230769,5.161538462,0.353923077,0.356307692,0.753846154,1.161538462,0.592923077,1.853846154,3.107692308,4.953846154,0.6,0.276923077,0.3,0.784615385,1.961538462,4.530769231,16.59769231
1303,Greg Ostertag,19.22727273,1.727272727,3.572727273,0.480272727,0,0.009090909,0.045454545,1.727272727,3.554545455,0.482,0.480363636,1.063636364,1.881818182,0.550181818,1.890909091,3.490909091,5.390909091,0.6,0.236363636,1.7,0.890909091,2.445454545,4.527272727,17.11727273
