,Lat,Long,School
347,41.7055716,-86.2353388,Notre Dame
348,35.2058936,-97.4457137,Oklahoma
349,35.2058936,-97.4457137,Oklahoma
350,35.118741,-89.937141,Memphis
351,36.9853543,-86.456138,Western Kentucky
352,39.6361396,-79.95593579999999,West Virginia
353,30.618531,-96.33649899999999,Texas A&M
354,35.9049122,-79.0469134,North Carolina
355,37.4274745,-122.169719,Stanford
356,43.0391534,-76.1351158,Syracuse
357,39.5441917,-119.816397,Nevada
358,37.1382689,-80.5506221,Radford
359,30.2849185,-97.7340567,Texas
360,36.1519879,-95.946,Tulsa
361,28.0587031,-82.41385389999999,South Florida
362,36.0014258,-78.9382286,Duke
363,43.038473,-87.93044549999999,Marquette
364,39.8411235,-86.17119079999999,Butler
365,36.3435415,-88.8643812,Tennessee-Martin
366,34.068921,-118.4451811,UCLA
367,34.6738437,-82.8368654,Clemson
368,42.0266187,-93.6464654,Iowa State
369,40.4443533,-79.960835,Pittsburgh
370,32.2318851,-110.9501094,Arizona
371,38.6487895,-90.31079620000001,Washington
372,39.149448,-84.47363740000002,Xavier
373,36.1340985,-80.2778951,Wake Forest
374,38.9543439,-95.2557961,Kansas
375,30.4418778,-84.2984889,Florida State
376,39.5441917,-119.816397,Nevada
377,33.4242399,-111.9280527,Arizona State
378,35.9049122,-79.0469134,North Carolina
379,47.66644729999999,-117.4015208,Gonzaga
380,40.037056,-75.34358,Villanova
381,35.5008018,-80.8446725,Davidson
382,35.118741,-89.937141,Memphis
383,30.4418778,-84.2984889,Florida State
384,34.0223519,-118.285117,Southern California
385,39.6361396,-79.95593579999999,West Virginia
386,39.4780293,-88.1759056,Eastern Illinois
387,29.6436325,-82.3549302,Florida
388,38.9403808,-92.32773750000001,Missouri
389,34.068921,-118.4451811,UCLA
390,25.7191685,-80.2771253,Miami (FL)
391,38.2122761,-85.75850229999999,Louisville
392,36.1340985,-80.2778951,Wake Forest
393,41.7224565,-73.9341204,Marist
394,28.6024274,-81.2000599,Central Florida
395,42.701848,-84.4821719,Michigan State
396,38.9076089,-77.07225849999999,Georgetown
397,37.5483122,-77.4526805,Virginia Commonwealth
398,41.8077414,-72.2539805,Connecticut
399,32.5263753,-92.6481104,Louisiana Tech
400,41.8077414,-72.2539805,Connecticut
401,34.3647324,-89.538443,Mississippi
402,36.0014258,-78.9382286,Duke
403,40.4443533,-79.960835,Pittsburgh
404,43.0391534,-76.1351158,Syracuse
405,35.2058936,-97.4457137,Oklahoma
406,40.0068363,-83.0306222,Ohio State
407,33.5021227,-86.8064447,Alabama-Birmingham
408,33.4551742,-88.79437659999999,Mississippi State
409,25.7191685,-80.2771253,Miami (FL)
410,37.5483122,-77.4526805,Virginia Commonwealth
411,38.9076089,-77.07225849999999,Georgetown
412,38.0306511,-84.5039697,Kentucky
413,35.9049122,-79.0469134,North Carolina
414,33.7756178,-84.39628499999999,Georgia Tech
415,38.6487895,-90.31079620000001,Washington
