,Lat,Long,School
361,28.0587031,-82.41385389999999,South Florida University
362,36.0014258,-78.9382286,Duke University
363,43.038473,-87.93044549999999,Marquette University
364,39.8411235,-86.17119079999999,Butler University
365,36.3435415,-88.8643812,Tennessee-Martin University
366,34.068921,-118.4451811,UCLA University
367,34.6738437,-82.8368654,Clemson University
368,42.0266187,-93.6464654,Iowa State University
369,40.4443533,-79.960835,Pittsburgh University
370,32.2318851,-110.9501094,Arizona University
371,38.6487895,-90.31079620000001,Washington University
372,39.149448,-84.47363740000002,Xavier University
373,36.1340985,-80.2778951,Wake Forest University
374,38.9543439,-95.2557961,Kansas University
375,30.4418778,-84.2984889,Florida State University
376,39.5441917,-119.816397,Nevada University
377,33.4242399,-111.9280527,Arizona State University
378,35.9049122,-79.0469134,North Carolina University
379,47.66644729999999,-117.4015208,Gonzaga University
380,40.037056,-75.34358,Villanova University
381,35.5008018,-80.8446725,Davidson University
382,35.118741,-89.937141,Memphis University
383,30.4418778,-84.2984889,Florida State University
384,34.0223519,-118.285117,Southern California University
385,39.6361396,-79.95593579999999,West Virginia University
386,39.4780293,-88.1759056,Eastern Illinois University
387,29.6436325,-82.3549302,Florida University
388,38.9403808,-92.32773750000001,Missouri University
389,34.068921,-118.4451811,UCLA University
390,25.7191685,-80.2771253,Miami (FL) University
391,38.2122761,-85.75850229999999,Louisville University
392,36.1340985,-80.2778951,Wake Forest University
393,41.7224565,-73.9341204,Marist University
394,28.6024274,-81.2000599,Central Florida University
395,42.701848,-84.4821719,Michigan State University
396,38.9076089,-77.07225849999999,Georgetown University
397,37.5483122,-77.4526805,Virginia Commonwealth University
398,41.8077414,-72.2539805,Connecticut University
399,32.5263753,-92.6481104,Louisiana Tech University
400,41.8077414,-72.2539805,Connecticut University
401,34.3647324,-89.538443,Mississippi University
402,36.0014258,-78.9382286,Duke University
403,40.4443533,-79.960835,Pittsburgh University
404,43.0391534,-76.1351158,Syracuse University
405,35.2058936,-97.4457137,Oklahoma University
406,40.0068363,-83.0306222,Ohio State University
407,33.5021227,-86.8064447,Alabama-Birmingham University
408,33.4551742,-88.79437659999999,Mississippi State University
409,25.7191685,-80.2771253,Miami (FL) University
410,37.5483122,-77.4526805,Virginia Commonwealth University
411,38.9076089,-77.07225849999999,Georgetown University
412,38.0306511,-84.5039697,Kentucky University
413,35.9049122,-79.0469134,North Carolina University
414,33.7756178,-84.39628499999999,Georgia Tech University
415,38.6487895,-90.31079620000001,Washington University
416,30.2849185,-97.7340567,Texas University
417,38.0306511,-84.5039697,Kentucky University
418,30.4418778,-84.2984889,Florida State University
419,43.0391534,-76.1351158,Syracuse University
420,40.0068363,-83.0306222,Ohio State University
421,40.5008186,-74.44739910000001,Rutgers University
422,39.9951217,-75.23993279999999,Saint Joseph's University
423,40.4764166,-90.6871341,Western Illinois University
424,38.9543439,-95.2557961,Kansas University
425,38.9543439,-95.2557961,Kansas University
426,42.2780436,-83.7382241,Michigan University
427,29.6436325,-82.3549302,Florida University
428,40.4237054,-86.92119459999999,Purdue University
429,38.0306511,-84.5039697,Kentucky University
430,29.6436325,-82.3549302,Florida University
431,39.8411235,-86.17119079999999,Butler University
432,32.77572170000001,-117.0718893,San Diego State University
433,33.9480053,-83.3773221,Georgia University
434,43.076592,-89.4124875,Wisconsin University
435,34.068921,-118.4451811,UCLA University
436,41.8077414,-72.2539805,Connecticut University
437,33.9480053,-83.3773221,Georgia University
438,33.207488,-97.1525862,North Texas University
439,46.7319225,-117.1542121,Washington State University
440,30.7129974,-95.5472905,Sam Houston State University
441,30.7129974,-95.5472905,Sam Houston State University
442,33.7756178,-84.39628499999999,Georgia Tech University
443,38.9543439,-95.2557961,Kansas University
444,30.4418778,-84.2984889,Florida State University
445,36.0014258,-78.9382286,Duke University
446,36.0014258,-78.9382286,Duke University
447,38.0306511,-84.5039697,Kentucky University
448,41.50249729999999,-81.6747185,Cleveland State University
449,43.038473,-87.93044549999999,Marquette University
450,40.0068363,-83.0306222,Ohio State University
451,39.9811935,-75.1553512,Temple University
452,40.2518435,-111.6493156,Brigham Young University
453,40.00758099999999,-105.2659417,Colorado University
454,42.6679486,-83.2081632,Oakland University
455,42.3355488,-71.16849450000001,Boston College University
456,36.0014258,-78.9382286,Duke University
457,34.068921,-118.4451811,UCLA University
458,30.2849185,-97.7340567,Texas University
459,40.716792,-73.5994041,Hofstra University
460,40.2518435,-111.6493156,Brigham Young University
461,38.1886162,-83.4315122,Morehead State University
462,35.9544013,-83.92945639999999,Tennessee University
463,37.5758681,-77.5409744,Richmond University
464,38.0306511,-84.5039697,Kentucky University
465,32.7841884,-79.93708869999999,College of Charleston University
466,36.8480161,-76.262085,Norfolk State University
467,42.0784113,-78.48288219999999,St. Bonaventure University
468,33.4551742,-88.79437659999999,Mississippi State University
469,36.1757592,-85.5086374,Tennessee Tech University
470,33.7756178,-84.39628499999999,Georgia Tech University
471,36.0014258,-78.9382286,Duke University
472,41.19189009999999,-111.9436903,Weber State University
473,35.9049122,-79.0469134,North Carolina University
474,41.8077414,-72.2539805,Connecticut University
475,38.0306511,-84.5039697,Kentucky University
476,40.1019523,-88.2271615,Illinois University
477,43.0391534,-76.1351158,Syracuse University
478,30.618531,-96.33649899999999,Texas A&M University
479,38.0306511,-84.5039697,Kentucky University
480,31.5497007,-97.1143046,Baylor University
481,33.8230593,-85.7681082,Jacksonville State University
482,38.0306511,-84.5039697,Kentucky University
483,35.9049122,-79.0469134,North Carolina University
484,38.6487895,-90.31079620000001,Washington University
485,42.0266187,-93.6464654,Iowa State University
486,38.9543439,-95.2557961,Kansas University
487,38.9543439,-95.2557961,Kansas University
488,36.0014258,-78.9382286,Duke University
489,47.66644729999999,-117.4015208,Gonzaga University
490,38.6487895,-90.31079620000001,Washington University
491,40.0068363,-83.0306222,Ohio State University
492,36.1447034,-86.8026551,Vanderbilt University
493,27.7127448,-97.32414329999999,Texas A&M-Corpus Christi University
494,41.8077414,-72.2539805,Connecticut University
495,43.038473,-87.93044549999999,Marquette University
496,44.5637806,-123.2794443,Oregon State University
497,38.9403808,-92.32773750000001,Missouri University
498,38.0306511,-84.5039697,Kentucky University
499,35.118741,-89.937141,Memphis University
500,29.6436325,-82.3549302,Florida University
501,35.9049122,-79.0469134,North Carolina University
502,31.5497007,-97.1143046,Baylor University
503,41.3797788,-83.6300826,Bowling Green State University
504,30.2114404,-92.0204121,Louisiana University
505,40.4237054,-86.92119459999999,Purdue University
506,35.9049122,-79.0469134,North Carolina University
507,43.0391534,-76.1351158,Syracuse University
508,31.5497007,-97.1143046,Baylor University
509,38.0306511,-84.5039697,Kentucky University
510,38.0306511,-84.5039697,Kentucky University
511,36.1447034,-86.8026551,Vanderbilt University
512,30.4418778,-84.2984889,Florida State University
513,43.038473,-87.93044549999999,Marquette University
514,34.4139629,-119.848947,UC-Santa Barbara University
515,38.9403808,-92.32773750000001,Missouri University
516,36.1447034,-86.8026551,Vanderbilt University
517,40.7220627,-73.79421119999999,St. John's (NY) University
518,30.4132579,-91.1800023,Louisiana State University
519,40.6048687,-75.3775187,Lehigh University
520,42.701848,-84.4821719,Michigan State University
521,38.0306511,-84.5039697,Kentucky University
522,39.1754487,-86.512627,Indiana University
523,40.9547721,-76.885076,Bucknell University
524,34.068921,-118.4451811,UCLA University
525,29.6436325,-82.3549302,Florida University
526,47.66644729999999,-117.4015208,Gonzaga University
527,38.9076089,-77.07225849999999,Georgetown University
528,37.3148783,-89.52804379999999,Southeast Missouri State University
529,29.5829699,-98.61972,Texas-San Antonio University
530,36.0014258,-78.9382286,Duke University
531,38.9403808,-92.32773750000001,Missouri University
532,35.2058936,-97.4457137,Oklahoma University
533,33.207488,-97.1525862,North Texas University
534,38.9869183,-76.9425543,Maryland University
535,36.0014258,-78.9382286,Duke University
536,25.7191685,-80.2771253,Miami (FL) University
537,38.9543439,-95.2557961,Kansas University
538,42.414062,-83.1379029,Detroit Mercy University
539,40.0068363,-83.0306222,Ohio State University
540,38.9543439,-95.2557961,Kansas University
541,44.3189457,-96.783968,South Dakota State University
542,39.1754487,-86.512627,Indiana University
543,40.00758099999999,-105.2659417,Colorado University
544,38.2122761,-85.75850229999999,Louisville University
545,35.0843187,-106.6197812,New Mexico University
546,43.0391534,-76.1351158,Syracuse University
547,35.9049122,-79.0469134,North Carolina University
548,42.2780436,-83.7382241,Michigan University
549,36.6163842,-88.3214979,Murray State University
550,33.9480053,-83.3773221,Georgia University
551,38.2122761,-85.75850229999999,Louisville University
552,37.3641651,-120.4254615,University of California University
553,40.4443533,-79.960835,Pittsburgh University
554,35.7846633,-78.6820946,North Carolina State University
555,36.1085197,-115.1431709,Nevada-Las Vegas University
556,32.2318851,-110.9501094,Arizona University
557,42.2780436,-83.7382241,Michigan University
558,44.0448302,-123.0726055,Oregon University
559,31.5497007,-97.1143046,Baylor University
560,40.573436,-105.0865473,Colorado State University
561,32.2318851,-110.9501094,Arizona University
562,33.4242399,-111.9280527,Arizona State University
563,32.77572170000001,-117.0718893,San Diego State University
564,35.1876457,-111.654093,Northern Arizona University
565,33.7838235,-118.1140904,Long Beach State University
566,37.22838429999999,-80.42341669999999,Virginia Tech University
567,35.9049122,-79.0469134,North Carolina University
568,38.0306511,-84.5039697,Kentucky University
