",,,,,,,,,,,,,,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Shooting,Shooting,Shooting,Shooting,Advanced,Advanced"
"Rk,Year,Lg,Rd,Pk,Tm,Player,Age,Pos,Born,College,From,To,G,MP,PTS,TRB,AST,STL,BLK,FG%,2P%,3P%,FT%,WS,WS/48"
"102,2018,NBA,2,42,DET,Bruce Brown\brownbr01,21.315,G,us,University of Miami,2019,2019,74,19.6,4.3,2.5,1.2,0.5,0.5,.398,.457,.258,.750,1.5,.048"
"103,2018,NBA,2,43,DEN,Justin Jackson\jacksju02,21.128,F,ca,University of Maryland,,,,,,,,,,,,,,,"
"104,2018,NBA,2,44,WAS,Issuf Sanon\sanonis01,18.239,G,ua,,,,,,,,,,,,,,,,"
"105,2018,NBA,2,45,BRK,Hamidou Diallo\diallha01,19.330,G,us,University of Kentucky,2019,2019,51,10.3,3.7,1.9,0.3,0.4,0.2,.455,.504,.167,.610,0.8,.069"
"106,2018,NBA,2,46,HOU,De'Anthony Melton\meltode01,20.029,G,us,University of Southern California,2019,2019,50,19.7,5.0,2.7,3.2,1.4,0.5,.391,.441,.305,.750,0.0,.002"
"107,2018,NBA,2,47,LAL,Sviatoslav Mykhailiuk\mykhasv01,21.016,G-F,ua,University of Kansas,2019,2019,42,10.5,3.2,0.9,0.9,0.3,0.0,.329,.333,.326,.600,-0.1,-0.012"
"108,2018,NBA,2,48,MIN,Keita Bates-Diop\bateske01,22.155,F,us,Ohio State University,2019,2019,30,16.8,5.0,2.8,0.6,0.6,0.5,.423,.522,.250,.643,0.3,.032"
"109,2018,NBA,2,49,SAS,Chimezie Metu\metuch01,21.096,F,us,University of Southern California,2019,2019,29,5.0,1.8,1.2,0.4,0.2,0.1,.328,.339,.000,.765,-0.3,-0.099"
"110,2018,NBA,2,50,IND,Alize Johnson\johnsal02,22.065,F,us,Missouri State,2019,2019,14,4.6,0.9,1.4,0.1,0.1,0.2,.250,.214,.500,.500,0.0,.027"
"111,2018,NBA,2,51,NOP,Tony Carr\carrto01,20.258,G,us,Pennsylvania State University,,,,,,,,,,,,,,,"
"112,2018,NBA,2,52,UTA,Vince Edwards\edwarvi01,22.082,F,us,Purdue University,2019,2019,2,8.0,1.5,1.0,0.0,0.0,0.0,.250,,.250,,0.0,-0.014"
"113,2018,NBA,2,53,OKC,Devon Hall\hallde01,22.355,G,us,University of Virginia,,,,,,,,,,,,,,,"
"114,2018,NBA,2,54,DAL,Shake Milton\miltosh01,21.273,G,us,Southern Methodist University,2019,2019,20,13.4,4.4,1.8,0.9,0.4,0.4,.391,.465,.318,.714,0.3,.059"
"115,2018,NBA,2,55,CHO,Arnoldas Kulboka\kulboar01,20.173,F,lt,,,,,,,,,,,,,,,,"
"116,2018,NBA,2,56,PHI,Ray Spalding\spaldra01,21.107,F,us,University of Louisville,2019,2019,14,10.6,3.9,3.4,0.4,0.6,0.6,.532,.568,.000,.333,0.2,.051"
