Player,Tm,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PER
Corey Brewer,DEN,23.1,4.0,9.3,0.4295,0.8500000000000001,2.95,0.278,3.15,6.35,0.4965,0.473,1.65,2.4000000000000004,0.6910000000000001,0.7,2.0,2.7,1.5,1.2999999999999998,0.3,1.05,1.9,10.5,24.165
Chris Kaman,DAL,20.7,4.7,9.3,0.507,0.0,0.0,0.0,4.7,9.3,0.508,0.507,1.0,1.3,0.7879999999999999,1.5,4.2,5.6,0.8,0.4,0.8,1.6,2.1,10.5,25.34
Marco Belinelli,CHO,24.0,3.6,8.3,0.429,1.4,3.8,0.36,2.2,4.5,0.488,0.512,2.0,2.3,0.893,0.2,2.2,2.4,2.0,0.6,0.1,0.9,1.2,10.5,22.8
Jumaine Jones,CHA,27.5,3.9,9.7,0.405,1.5,4.4,0.34299999999999997,2.4,5.3,0.456,0.483,1.2,1.6,0.727,1.4,3.6,4.9,0.8,0.9,0.3,1.0,2.6,10.5,20.36
Glenn Robinson,PHI,23.55,4.15,9.45,0.4335,0.6000000000000001,1.85,0.324,3.55,7.6,0.46799999999999997,0.47050000000000003,1.55,2.05,0.666,1.1,2.4,3.5,1.1,0.65,0.15000000000000002,1.65,1.65,10.5,19.66
Stephen Jackson,MIL,27.4,3.7,10.5,0.35700000000000004,1.2,4.2,0.278,2.6,6.3,0.409,0.41200000000000003,1.9,2.3,0.833,0.6,2.5,3.2,3.0,1.0,0.2,2.5,2.3,10.5,18.74
Dale Ellis,TOT,20.65,4.15,8.95,0.4445,1.0,2.75,0.3665,3.1,6.2,0.498,0.522,1.3,1.7999999999999998,0.7075,0.8,1.55,2.35,1.0999999999999999,0.65,0.1,1.05,1.6500000000000001,10.5,22.134999999999998
Mahmoud Abdul-Rauf,SAC,22.75,4.4,10.55,0.41100000000000003,0.75,2.15,0.2715,3.7,8.4,0.4365,0.441,1.0,1.15,0.923,0.2,1.2,1.4,2.2,0.6,0.05,1.1,1.65,10.5,22.2
Carlos Delfino,MIL,30.433333333333334,3.8333333333333335,9.566666666666668,0.4000000000000001,1.8333333333333333,5.033333333333333,0.36566666666666664,1.9666666666666666,4.533333333333334,0.438,0.49633333333333335,1.0333333333333332,1.3333333333333333,0.7913333333333333,0.5333333333333333,3.9,4.433333333333333,2.433333333333333,1.4000000000000001,0.2333333333333333,1.3333333333333333,1.7,10.5,20.10333333333333
Terry Porter,MIA,27.3,3.4,7.4,0.465,1.2,2.8,0.41100000000000003,2.3,4.6,0.498,0.5429999999999999,2.5,3.0,0.831,0.3,2.5,2.8,2.9,1.0,0.2,1.5,1.9,10.5,20.67
Bobby Simmons,MIL,27.75,3.95,8.95,0.437,1.15,2.8499999999999996,0.3855,2.8,6.0,0.46299999999999997,0.5,1.5,1.85,0.7909999999999999,1.1,2.75,3.8000000000000003,1.7,0.9,0.2,1.35,2.7,10.5,19.35
Dario Šarić,MIN,23.9,3.8,8.3,0.45399999999999996,1.4,3.7,0.38299999999999995,2.3,4.6,0.511,0.54,1.5,1.8,0.875,1.5,3.9,5.5,1.5,0.6,0.1,1.1,2.1,10.5,23.99
Dennis Hopson,TOT,18.5,3.9,8.4,0.465,0.2,0.7,0.255,3.7,7.7,0.484,0.47600000000000003,2.5,3.6,0.708,1.5,1.4,2.9,1.4,0.9,0.5,1.4,1.6,10.5,29.73
Thomas Bryant,WAS,20.8,4.3,7.0,0.616,0.5,1.4,0.33299999999999996,3.8,5.6,0.685,0.648,1.5,1.9,0.7809999999999999,1.6,4.7,6.3,1.3,0.3,0.9,0.8,1.8,10.5,29.65
Jeff Green,SEA,28.2,4.0,9.4,0.42700000000000005,0.3,1.0,0.276,3.7,8.4,0.444,0.441,2.2,3.0,0.7440000000000001,1.3,3.5,4.7,1.5,0.6,0.6,2.0,2.5,10.5,18.28
Shandon Anderson,HOU,31.049999999999997,3.85,8.35,0.4595,0.8,2.4000000000000004,0.31100000000000005,3.05,5.9,0.52,0.5045,2.05,2.7,0.7505000000000001,1.0,3.4000000000000004,4.4,2.5999999999999996,1.1,0.45,2.0,2.35,10.5,18.3
Jamal Crawford,CHI,24.525,4.075,9.925,0.40675000000000006,1.25,3.475,0.3675,2.8,6.449999999999999,0.42774999999999996,0.47000000000000003,1.15,1.45,0.8005,0.30000000000000004,1.925,2.2,3.4999999999999996,0.975,0.275,1.725,1.375,10.475000000000001,22.2725
James Johnson,MIA,25.066666666666666,4.0,8.466666666666667,0.4716666666666667,0.9333333333333335,2.866666666666667,0.328,3.1,5.633333333333333,0.5436666666666666,0.528,1.4666666666666668,2.1,0.7063333333333334,0.7000000000000001,3.6666666666666665,4.333333333333333,3.3000000000000003,0.8666666666666667,0.7666666666666666,1.833333333333333,2.4333333333333336,10.466666666666667,23.206666666666667
Matt Geiger,CHH,25.133333333333336,4.233333333333333,8.266666666666666,0.5099999999999999,0.03333333333333333,0.19999999999999998,0.25533333333333336,4.2,8.033333333333333,0.5163333333333333,0.5136666666666666,1.9666666666666668,2.766666666666667,0.7133333333333334,2.3666666666666667,4.3999999999999995,6.8,0.8666666666666667,0.6333333333333333,0.8333333333333334,1.5333333333333332,3.1,10.466666666666667,22.99
Danny Fortson,GSW,25.23333333333333,3.3333333333333335,6.966666666666668,0.45933333333333337,0.0,0.06666666666666667,0.08333333333333333,3.3333333333333335,6.900000000000001,0.46199999999999997,0.45966666666666667,3.766666666666666,4.8999999999999995,0.7426666666666666,3.4,7.333333333333333,10.766666666666666,1.0333333333333334,0.4666666666666666,0.06666666666666667,1.5666666666666667,3.1666666666666665,10.466666666666667,22.936666666666667
Billy Owens,SAC,29.100000000000005,4.2,9.366666666666665,0.4503333333333333,0.30000000000000004,0.8333333333333334,0.37833333333333335,3.9333333333333336,8.5,0.4586666666666666,0.4673333333333334,1.6666666666666667,2.6333333333333333,0.643,2.1333333333333333,4.233333333333333,6.366666666666667,2.9333333333333336,1.0,0.5333333333333333,2.1,2.8333333333333335,10.466666666666667,20.94
Kent Bazemore,ATL,24.880000000000003,3.7399999999999998,8.940000000000001,0.4196,1.3,3.6399999999999997,0.3562,2.44,5.3,0.4636,0.492,1.6800000000000002,2.26,0.729,0.45999999999999996,3.3200000000000003,3.8,2.3,1.2,0.58,1.7400000000000002,2.2199999999999998,10.46,22.232
Joe Smith,MIN,26.425,3.95,8.575000000000001,0.4655,0.0,0.025,0.41675,3.95,8.525,0.4665,0.46625000000000005,2.525,3.25,0.7799999999999999,2.55,3.9,6.425,1.125,0.5249999999999999,1.1,1.25,3.5,10.45,22.1875
Antonio McDyess,PHO,25.6,4.3,8.35,0.51,0.0,0.0,0.0,4.3,8.35,0.5105,0.51,1.7999999999999998,2.6999999999999997,0.609,2.05,4.55,6.699999999999999,1.0,1.1,1.1,1.55,3.3,10.45,22.13
Tim Hardaway,ATL,22.1,3.75,8.35,0.4425,1.4,4.05,0.34750000000000003,2.35,4.35,0.537,0.529,1.55,1.9000000000000001,0.8294999999999999,0.25,1.95,2.25,1.65,0.55,0.15000000000000002,0.9,1.1,10.45,22.915
Lou Williams,PHI,20.37142857142857,3.5285714285714285,8.342857142857143,0.4268571428571429,0.7714285714285715,2.242857142857143,0.3201428571428572,2.7714285714285714,6.1000000000000005,0.45985714285714285,0.4671428571428572,2.642857142857143,3.3142857142857145,0.7632857142857145,0.37142857142857144,1.5285714285714285,1.8714285714285717,2.7714285714285714,0.7571428571428571,0.15714285714285717,1.2714285714285716,1.3000000000000003,10.442857142857145,25.648571428571433
Blue Edwards,VAN,27.233333333333334,3.966666666666667,9.466666666666667,0.4183333333333334,0.6333333333333333,2.0,0.319,3.3333333333333335,7.466666666666666,0.44366666666666665,0.4513333333333333,1.8666666666666665,2.3333333333333335,0.803,0.9333333333333332,2.4,3.3333333333333335,2.3333333333333335,1.0333333333333334,0.39999999999999997,1.7000000000000002,2.5,10.433333333333334,19.996666666666666
Brent Barry,LAC,25.066666666666666,3.6,8.266666666666667,0.437,1.4666666666666668,3.7999999999999994,0.38000000000000006,2.1333333333333333,4.466666666666666,0.4876666666666667,0.5253333333333333,1.7333333333333334,2.1,0.8236666666666667,0.5666666666666667,1.9333333333333333,2.5,2.9,1.0999999999999999,0.39999999999999997,1.7,2.033333333333333,10.433333333333334,22.483333333333334
Horace Grant,ORL,32.31428571428571,4.5,8.985714285714286,0.503,0.0,0.05714285714285715,0.04771428571428571,4.5,8.928571428571429,0.5055714285714286,0.5031428571428572,1.442857142857143,2.057142857142857,0.6015714285714285,2.3857142857142857,4.871428571428572,7.271428571428571,2.042857142857143,0.9857142857142857,0.8857142857142858,0.942857142857143,2.0428571428571427,10.42857142857143,20.904285714285713
B.J. Armstrong,CHI,25.3,4.1571428571428575,8.728571428571428,0.4765714285714286,0.5571428571428572,1.3,0.4534285714285714,3.6,7.428571428571428,0.48214285714285715,0.5055714285714286,1.5285714285714287,1.757142857142857,0.8635714285714287,0.24285714285714288,1.557142857142857,1.8285714285714287,3.314285714285714,0.7428571428571429,0.07142857142857142,1.2571428571428573,1.5571428571428572,10.400000000000002,21.43857142857143
